SerialNumber,T::TP1_T_PCT_400,T::TP1_T_PCT_410,T::TP1_T_PCT_420,T::TP1_T_PCT_450,T::TP1_T_PCT_500,T::TP1_T_PCT_550,T::TP1_T_PCT_600,T::TP1_T_PCT_650,T::TP1_T_PCT_700,T::TP1_T_PCT_750,T::TP1_T_PCT_800,T::TP1_T_PCT_850,T::TP1_T_PCT_900,T::TP1_T_PCT_950,T::TP1_T_PCT_1000,T::TP1_T_PCT_1050,T::TP1_T_PCT_1100,T::TP2_T_PCT_400,T::TP2_T_PCT_410,T::TP2_T_PCT_420,T::TP2_T_PCT_450,T::TP2_T_PCT_500,T::TP2_T_PCT_550,T::TP2_T_PCT_600,T::TP2_T_PCT_650,T::TP2_T_PCT_700,T::TP2_T_PCT_750,T::TP2_T_PCT_800,T::TP2_T_PCT_850,T::TP2_T_PCT_900,T::TP2_T_PCT_950,T::TP2_T_PCT_1000,T::TP2_T_PCT_1050,T::TP2_T_PCT_1100,T::TP3_T_PCT_400,T::TP3_T_PCT_410,T::TP3_T_PCT_420,T::TP3_T_PCT_450,T::TP3_T_PCT_500,T::TP3_T_PCT_550,T::TP3_T_PCT_600,T::TP3_T_PCT_650,T::TP3_T_PCT_700,T::TP3_T_PCT_750,T::TP3_T_PCT_800,T::TP3_T_PCT_850,T::TP3_T_PCT_900,T::TP3_T_PCT_950,T::TP3_T_PCT_1000,T::TP3_T_PCT_1050,T::TP3_T_PCT_1100
FX973166K9GHTF99K+01945136818156077701784748,0.1627352,0.303303,1.0636536,2.7180707,3.4798998,4.1938985,4.8976739,5.6241837,6.4866924,7.310473,8.1023515,8.9534417,9.806495,10.6983742,11.6559731,12.7235847,13.5758613,0.2036279,0.3647527,1.1807396,2.8593706,3.6273758,4.3635112,5.073352,5.8023348,6.7019514,7.5368471,8.3435477,9.2325454,10.0556523,10.9359028,11.9306944,12.9651389,13.8346283,0.1943095,0.3530197,1.1150536,2.7677456,3.519962,4.2372556,4.9295406,5.6462935,6.478391,7.3082832,8.0906499,8.9741724,9.7912151,10.650943,11.6327456,12.671427,13.5079321
FX973166K9DHTF99N+01945135812158077694795748,0.1719724,0.31824085,1.14314245,2.8276632,3.60357115,4.33637935,5.0585768,5.8107419,6.6959105,7.5359813,8.3524845,9.22891435,10.1137224,11.01772405,11.991563,13.08591645,13.9384375,0.205979,0.3692762,1.22764415,2.91868155,3.69695135,4.4394864,5.1663129,5.9190623,6.840049,7.6782817,8.5039223,9.3957156,10.26302045,11.14280255,12.1618639,13.22365385,14.08781475,0.20364105,0.359725,1.1799547,2.8645644,3.63169935,4.3570244,5.07109355,5.8126645,6.6673877,7.50466,8.31740245,9.21499775,10.05840945,10.94421675,11.94689065,13.0160681,13.8530013
FX973165TN0HTF99R+01943129805157076667791748,0.1749454,0.3291905,1.2721938,3.0130155,3.8271426,4.5879354,5.3417363,6.1360657,7.0686399,7.9304912,8.7887589,9.7344017,10.630415,11.568628,12.586217,13.7472032,14.6369269,0.2151175,0.3837127,1.3709986,3.1290218,3.9412579,4.7184681,5.4787786,6.268884,7.2373651,8.0969411,8.9454524,9.9027748,10.8030083,11.7184733,12.7371127,13.8523814,14.7728388,0.2027153,0.3766655,1.3272085,3.0729521,3.882201,4.6386471,5.3909136,6.1675411,7.0778005,7.9362088,8.7878275,9.7329902,10.6313842,11.5475735,12.565137,13.7067687,14.5784601
FX973165TJEHTF99P+01943136800159078700799748,0.1593843,0.3013556,1.1554957,2.8433244,3.6305646,4.3682973,5.1073851,5.8694719,6.7726701,7.61179,8.4503346,9.3382241,10.2276341,11.1463261,12.1218808,13.2478158,14.0857067,0.2032758,0.3647428,1.2849365,3.0049247,3.8107278,4.5702154,5.3199687,6.0810577,7.0294182,7.8675657,8.7135277,9.6068993,10.5049876,11.4413961,12.4003736,13.5256287,14.3895838,0.1978168,0.3570323,1.259305,2.9691088,3.7598357,4.5098604,5.2512707,6.0183148,6.8942241,7.7444181,8.5818764,9.4743587,10.3623428,11.2919584,12.2641637,13.3792168,14.2193371
FX973165TJDHTF99Q+01943123788156076636785748,0.1752855,0.3206133,1.1951278,2.8999008,3.6992325,4.4488241,5.1953453,5.9737273,6.8872134,7.7304534,8.5828889,9.4896423,10.3711268,11.3305705,12.3331618,13.4741352,14.3542477,0.2091004,0.3777189,1.2983691,3.0249243,3.8277956,4.5876505,5.3362982,6.1182099,7.0604305,7.9083004,8.7574279,9.6532932,10.5699382,11.5228348,12.492244,13.6434126,14.5435951,0.2071778,0.3666486,1.2394505,2.946244,3.7409334,4.4867261,5.2305987,5.9936519,6.8650494,7.7241396,8.5606939,9.4420563,10.3613137,11.3076331,12.2934633,13.4264363,14.2865027
FX973165TJCHTF99R+01943147834159077753796748,0.1790839,0.3309481,1.2309653,2.9423835,3.7074518,4.4383431,5.1726528,5.9277175,6.8373717,7.684804,8.5215775,9.3977317,10.282518,11.2024815,12.2162628,13.3114131,14.2112897,0.2183365,0.3936192,1.3302443,3.0480349,3.8163779,4.5602284,5.2944995,6.0440336,6.9940194,7.8332034,8.6557295,9.5530833,10.4332653,11.3448395,12.3534366,13.4194037,14.351768,0.2090764,0.3785972,1.2638815,2.9575149,3.7117829,4.4319777,5.1532521,5.8950955,6.7700422,7.6109339,8.4212897,9.309905,10.1923313,11.0874951,12.1141338,13.1751821,14.0811171
FX973165TJBHTF99S+01943146810159080747797748,0.1999925,0.3671523,1.226655,2.9250554,3.6988578,4.4329667,5.1587784,5.9186319,6.816131,7.677734,8.4940616,9.3883132,10.2728866,11.1966471,12.2078173,13.3077829,14.226552,0.2189909,0.4133273,1.3126729,3.0304052,3.8090232,4.5573547,5.2868588,6.0502612,6.982585,7.83599,8.6676618,9.5991887,10.469355,11.358034,12.3955955,13.4686434,14.3683865,0.2197003,0.4005799,1.2680464,2.9732097,3.7396319,4.4664185,5.1960743,5.942879,6.8100016,7.6666075,8.4903456,9.4124267,10.2614447,11.1575543,12.1918214,13.2625955,14.1743411
FX973165TJAHTF99T+01943135791159079695797748,0.1660829,0.3225911,1.2086546,2.9219177,3.716147,4.4690369,5.2216973,5.9950591,6.9033201,7.7567935,8.5838959,9.4905938,10.3635819,11.275978,12.269893,13.386214,14.22196,0.2059875,0.3715265,1.2758791,3.0137968,3.8001314,4.5759233,5.3276115,6.0979173,7.0370094,7.8884359,8.719672,9.6354916,10.4974613,11.4035953,12.4019007,13.4819843,14.3318153,0.2033005,0.3651109,1.2314804,2.9478002,3.7438636,4.4862025,5.2261242,5.9942846,6.8652863,7.7111404,8.5411937,9.4406975,10.3046279,11.1807423,12.1730669,13.2582169,14.1311519
FX973165TJ1HTF992+01943132798154077683776748,0.1895317,0.3680966,1.1628953,2.8373364,3.5724651,4.2805581,4.9935413,5.7358265,6.6195543,7.4398797,8.2661161,9.1462417,10.0058254,10.911939,11.8861298,13.0157067,13.8512047,0.2338294,0.4297162,1.2712934,2.9658702,3.7088951,4.4347777,5.1573713,5.8923031,6.8204498,7.6408909,8.449829,9.3429555,10.2200753,11.1009989,12.0727174,13.1843551,14.0901878,0.2238025,0.4196418,1.2129168,2.8887545,3.6233316,4.3300451,5.0360046,5.7691556,6.6167999,7.4452996,8.2454099,9.1332644,9.988215,10.8906685,11.8715822,12.9751928,13.8902742
FX973165THVHTF99B+01943138802156079712784748,0.1819194,0.3535027,1.2475731,2.957598,3.7337179,4.4626065,5.1991931,5.9627754,6.8550669,7.6954775,8.5421672,9.4125828,10.2823476,11.2147802,12.1849401,13.2762424,14.1036819,0.2216678,0.4058875,1.3349136,3.0567843,3.8335185,4.5853854,5.3202423,6.0838753,7.020359,7.8758889,8.6965481,9.6245124,10.4951674,11.3627416,12.3621978,13.4250168,14.3207567,0.2199707,0.3905318,1.267367,2.9645522,3.7205948,4.4552603,5.1691701,5.9244652,6.7941647,7.6396755,8.4498304,9.3580878,10.2085931,11.0926516,12.0763411,13.1193074,14.0058883
