SerialNumber,T::TP1_T_PCT_400,T::TP1_T_PCT_410,T::TP1_T_PCT_420,T::TP1_T_PCT_450,T::TP1_T_PCT_500,T::TP1_T_PCT_550,T::TP1_T_PCT_600,T::TP1_T_PCT_650,T::TP1_T_PCT_700,T::TP1_T_PCT_750,T::TP1_T_PCT_800,T::TP1_T_PCT_850,T::TP1_T_PCT_900,T::TP1_T_PCT_950,T::TP1_T_PCT_1000,T::TP1_T_PCT_1050,T::TP1_T_PCT_1100,T::TP2_T_PCT_400,T::TP2_T_PCT_410,T::TP2_T_PCT_420,T::TP2_T_PCT_450,T::TP2_T_PCT_500,T::TP2_T_PCT_550,T::TP2_T_PCT_600,T::TP2_T_PCT_650,T::TP2_T_PCT_700,T::TP2_T_PCT_750,T::TP2_T_PCT_800,T::TP2_T_PCT_850,T::TP2_T_PCT_900,T::TP2_T_PCT_950,T::TP2_T_PCT_1000,T::TP2_T_PCT_1050,T::TP2_T_PCT_1100,T::TP3_T_PCT_400,T::TP3_T_PCT_410,T::TP3_T_PCT_420,T::TP3_T_PCT_450,T::TP3_T_PCT_500,T::TP3_T_PCT_550,T::TP3_T_PCT_600,T::TP3_T_PCT_650,T::TP3_T_PCT_700,T::TP3_T_PCT_750,T::TP3_T_PCT_800,T::TP3_T_PCT_850,T::TP3_T_PCT_900,T::TP3_T_PCT_950,T::TP3_T_PCT_1000,T::TP3_T_PCT_1050,T::TP3_T_PCT_1100
FX973166K9GHTF99K+01945136818156077701784748,3.8805019,1,1,64.8104537,82.9756371,100,116.7812522,134.104155,154.6701065,174.3122589,193.1942338,213.4881607,233.8283111,255.0940979,277.9272034,303.3846346,323.7065004,4.6667766,1,1,65.5293725,83.1298829,100,116.2677492,132.9743348,153.5912964,172.7247957,191.2119905,211.5857117,230.4490983,250.6220931,273.4200287,297.1264922,317.0538179,4.5859652,1,1,65.3194802,83.0719346,100,116.3384116,133.2538941,152.8916748,172.4772018,190.9411712,211.792273,231.0753126,251.3651841,274.5361968,299.0494356,318.7900759
FX973166K9DHTF99N+01945135812158077694795748,3.96218755,1,1,65.1950958,83.09745405,100,116.6592132,134.0041641,154.4205369,173.8028946,192.6336602,212.8486062,233.2488045,254.1113228,276.5803955,301.8256562,321.5067567,4.6409686,1,1,65.74025045,83.2717934,100,116.3707963,133.3222779,154.0676827,172.9526383,191.5462022,211.6387475,231.1684784,250.9891228,273.9420945,297.8555038,317.3299851,4.671755,1,1,65.7345833,83.3453431,100,116.3880191,133.4051095,153.0233232,172.2494614,190.897834,211.5055528,230.8620437,251.1910736,274.2084289,298.746727,317.9692842
FX973165TN0HTF99R+01943129805157076667791748,3.8124856,1,1,65.6732751,83.4186896,100,116.4318542,133.7454924,154.0704545,172.8594895,191.5674928,212.1775528,231.7075058,252.1640045,274.3439515,299.6493226,319.0430023,4.5582399,1,1,66.3134056,83.5279251,100,116.1139045,132.8586548,153.3834747,171.6016604,189.58703,209.8728317,228.9516174,248.3551026,269.9455109,293.58078,313.0887207,4.3698371,1,1,66.2454392,83.6935411,100,116.2191924,132.9618239,152.5833496,171.0916885,189.4529236,209.8283417,229.1945038,248.9520522,270.8883912,295.4996887,314.3002288
FX973165TJEHTF99P+01943136800159078700799748,3.6485748,1,1,65.0899978,83.1116807,100,116.9198937,134.3659591,155.0420654,174.2512114,193.4473237,213.7743622,234.1346145,255.1648788,277.4961762,303.2734131,322.4522704,4.4480538,1,1,65.7502213,83.3818259,100,116.4059129,133.0591095,153.8104355,172.1492447,190.6597702,210.2084411,229.85867,250.3473526,271.3306061,295.9532228,314.8527404,4.3867571,1,1,65.8359322,83.3694159,100,116.4402077,133.4485139,152.8708954,171.722708,190.2919968,210.0822097,229.7719407,250.3845764,271.9415619,296.6674868,315.292926
FX973165TJDHTF99Q+01943123788156076636785748,3.9394384,1,1,65.1824095,83.1509108,100,116.7804665,134.276848,154.8090836,173.7641143,192.9274413,213.3078065,233.1245986,254.6914154,277.2229036,302.8761138,322.6573057,4.5580023,1,1,65.9363237,83.4372231,100,116.3190476,133.3629608,153.9012695,172.3823852,190.8915497,210.4203202,230.4005386,251.1712281,272.3020355,297.3943574,317.0171173,4.6174874,1,1,65.6658752,83.3781197,100,116.5797904,133.5869261,153.0084289,172.1558257,190.8015823,210.4451704,230.9335602,252.0254578,273.9968384,299.2499512,318.4167725
FX973165TJCHTF99R+01943147834159077753796748,4.0345855,1,1,66.2943871,83.532473,100,116.5447296,133.5577713,154.0528549,173.1460024,192.0000763,211.7413208,231.6757004,252.4043364,275.2475951,299.9237729,320.1949402,4.7884207,1,1,66.8402321,83.6889068,100,116.1025887,132.5384461,153.3714997,171.7739196,189.8101454,209.4867754,228.7900666,248.7783066,270.8955932,294.2703492,314.7163147,4.7168923,1,1,66.7309289,83.750238,100,116.274984,133.013617,152.7551559,171.7288465,190.0132201,210.065361,229.9734069,250.1716538,273.3368591,297.2806915,317.7204865
FX973165TJBHTF99S+01943146810159080747797748,4.511577,1,1,65.9847222,83.4403856,100,116.3737975,133.5149842,153.7607698,173.196904,191.6119049,211.7852555,231.739801,252.5773604,275.3879761,300.201355,320.9272278,4.8052888,1,1,66.4948265,83.5799188,100,116.0075142,132.75858,153.2163041,171.9418854,190.1910494,210.6314562,229.7252914,249.2249938,271.991394,295.5370025,315.2791473,4.9197216,1,1,66.5683952,83.7282104,100,116.3372971,133.0575516,152.4719359,171.6509294,190.0938277,210.7387407,229.7478013,249.8114639,272.969156,296.9424134,317.3566865
FX973165TJAHTF99T+01943135791159079695797748,3.7154058,1,1,65.3812066,83.1535744,100,116.8429107,134.1470825,154.4699081,173.5697648,192.0771638,212.3664689,231.8979188,252.3182158,274.5560669,299.5398468,318.2364044,4.5021498,1,1,65.8620727,83.0465439,100,116.4277093,133.2617158,153.784488,172.3906511,190.5558058,210.5705262,229.4075897,249.2088789,271.0257354,294.6281189,313.2026031,4.5322381,1,1,65.7084548,83.4531929,100,116.4935508,133.6169525,153.0321061,171.8858887,190.3884492,210.4383118,229.6971511,249.2252731,271.3445221,295.5326782,314.9918151
FX973165TJ1HTF992+01943132798154077683776748,4.4277807,1,1,66.2843521,83.4580857,100,116.6566482,133.9972473,154.642714,173.8066573,193.1085235,213.6693984,233.7507889,254.9189867,277.6772094,304.0657014,323.5846894,5.2730433,1,1,66.8775787,83.6323524,100,116.293927,132.8662186,153.7948075,172.2951127,190.5359862,210.6751418,230.4531753,250.3172058,272.2286194,297.2955444,317.7208009,5.16832,1,1,66.7143119,83.6791306,100,116.3039778,133.2358306,152.8114626,171.9453567,190.423665,210.9284577,230.6725633,251.514746,274.1676176,299.6560242,320.79169
FX973165THVHTF99B+01943138802156079712784748,4.0756839,1,1,66.2749687,83.6666617,100,116.5061846,133.6183975,153.6109175,172.4456071,191.4189729,210.9240601,230.4097931,251.3120515,273.0515931,297.5082062,316.0555208,4.8341385,1,1,66.6637872,83.6030792,100,116.0268838,132.6806549,153.104065,171.7617126,189.6584764,209.8965927,228.8829163,247.8065873,269.6027099,292.7801911,312.3168243,4.9366362,1,1,66.5392181,83.5100921,100,116.0266763,132.9790404,152.4997436,171.4799041,189.6654434,210.0519805,229.1388673,248.9844878,271.0660889,294.477942,314.378308
