WaveLength,Module1,Min%, Max%, Modue2,Min%, Max%
400,323.0572,-5.00,5.00,285.1433,-5.00,5.00,
401,329.3451,-5.00,5.00,290.9670,-5.00,5.00,
402,336.0568,-5.00,5.00,302.0061,-5.00,5.00,
403,341.9128,-5.00,5.00,307.6021,-5.00,5.00,
404,347.7362,-5.00,5.00,312.2033,-5.00,5.00,
405,360.2216,-5.00,5.00,317.9062,-5.00,5.00,
406,366.5198,-5.00,5.00,329.1154,-5.00,5.00,
407,372.3330,-5.00,5.00,335.1328,-5.00,5.00,
408,378.4622,-5.00,5.00,340.3318,-5.00,5.00,
409,390.7467,-5.00,5.00,345.3489,-5.00,5.00,
410,397.1335,-5.00,5.00,350.9149,-5.00,5.00,
411,402.9804,-5.00,5.00,360.4105,-5.00,5.00,
412,408.1320,-5.00,5.00,365.3563,-5.00,5.00,
413,413.3780,-5.00,5.00,369.8407,-5.00,5.00,
414,424.3490,-5.00,5.00,374.1389,-5.00,5.00,
415,429.5500,-5.00,5.00,384.3629,-5.00,5.00,
416,434.5643,-5.00,5.00,388.8239,-5.00,5.00,
417,439.6823,-5.00,5.00,394.4794,-5.00,5.00,
418,451.5784,-5.00,5.00,400.6204,-5.00,5.00,
419,457.4310,-5.00,5.00,406.1432,-5.00,5.00,
420,462.0077,-5.00,5.00,416.5337,-5.00,5.00,
421,467.2625,-5.00,5.00,420.7500,-5.00,5.00,
422,471.4522,-5.00,5.00,424.7952,-5.00,5.00,
423,479.4992,-5.00,5.00,428.4139,-5.00,5.00,
424,483.2619,-5.00,5.00,435.5146,-5.00,5.00,
425,486.8841,-5.00,5.00,438.4957,-5.00,5.00,
426,490.7104,-5.00,5.00,442.8489,-5.00,5.00,
427,498.9272,-5.00,5.00,446.4703,-5.00,5.00,
428,501.5927,-5.00,5.00,451.0226,-5.00,5.00,
429,506.0060,-5.00,5.00,459.0688,-5.00,5.00,
430,509.3168,-5.00,5.00,462.5128,-5.00,5.00,
431,512.8776,-5.00,5.00,466.4470,-5.00,5.00,
432,520.2832,-5.00,5.00,469.6399,-5.00,5.00,
433,524.2481,-5.00,5.00,476.5802,-5.00,5.00,
434,528.4075,-5.00,5.00,480.6486,-5.00,5.00,
435,532.7615,-5.00,5.00,483.7832,-5.00,5.00,
436,542.5979,-5.00,5.00,487.9739,-5.00,5.00,
437,546.5244,-5.00,5.00,492.3142,-5.00,5.00,
438,552.3408,-5.00,5.00,502.2641,-5.00,5.00,
439,557.1808,-5.00,5.00,507.2030,-5.00,5.00,
440,566.6169,-5.00,5.00,512.5362,-5.00,5.00,
441,571.6658,-5.00,5.00,517.5135,-5.00,5.00,
442,576.3995,-5.00,5.00,526.6155,-5.00,5.00,
443,582.1544,-5.00,5.00,531.8306,-5.00,5.00,
444,586.7314,-5.00,5.00,535.5650,-5.00,5.00,
445,598.0453,-5.00,5.00,540.3787,-5.00,5.00,
446,604.0739,-5.00,5.00,550.5635,-5.00,5.00,
447,611.5151,-5.00,5.00,556.5840,-5.00,5.00,
448,619.9198,-5.00,5.00,565.8796,-5.00,5.00,
449,642.3569,-5.00,5.00,576.4230,-5.00,5.00,
450,652.5139,-5.00,5.00,586.8003,-5.00,5.00,
451,659.4548,-5.00,5.00,602.1488,-5.00,5.00,
452,663.7103,-5.00,5.00,603.3484,-5.00,5.00,
453,663.0669,-5.00,5.00,604.0482,-5.00,5.00,
454,663.4110,-5.00,5.00,604.7130,-5.00,5.00,
455,666.3043,-5.00,5.00,610.2157,-5.00,5.00,
456,670.7235,-5.00,5.00,615.1030,-5.00,5.00,
457,677.6753,-5.00,5.00,621.3438,-5.00,5.00,
458,691.7191,-5.00,5.00,627.5036,-5.00,5.00,
459,697.7645,-5.00,5.00,637.8827,-5.00,5.00,
460,703.5989,-5.00,5.00,643.2311,-5.00,5.00,
461,708.4095,-5.00,5.00,648.3240,-5.00,5.00,
462,720.8060,-5.00,5.00,653.4763,-5.00,5.00,
463,726.5297,-5.00,5.00,666.2043,-5.00,5.00,
464,733.0383,-5.00,5.00,671.3995,-5.00,5.00,
465,738.5359,-5.00,5.00,678.2145,-5.00,5.00,
466,756.7126,-5.00,5.00,688.0685,-5.00,5.00,
467,768.8211,-5.00,5.00,698.2000,-5.00,5.00,
468,776.9902,-5.00,5.00,715.3977,-5.00,5.00,
469,783.1403,-5.00,5.00,719.8172,-5.00,5.00,
470,790.7047,-5.00,5.00,721.4033,-5.00,5.00,
471,798.1429,-5.00,5.00,724.9692,-5.00,5.00,
472,806.4135,-5.00,5.00,740.8503,-5.00,5.00,
473,814.9098,-5.00,5.00,746.0648,-5.00,5.00,
474,819.1621,-5.00,5.00,745.6808,-5.00,5.00,
475,807.8130,-5.00,5.00,740.8504,-5.00,5.00,
476,800.4020,-5.00,5.00,726.8593,-5.00,5.00,
477,794.2601,-5.00,5.00,723.9717,-5.00,5.00,
478,791.3750,-5.00,5.00,725.1638,-5.00,5.00,
479,793.6593,-5.00,5.00,727.6771,-5.00,5.00,
480,797.6514,-5.00,5.00,732.3994,-5.00,5.00,
481,804.4626,-5.00,5.00,746.3040,-5.00,5.00,
482,813.5948,-5.00,5.00,753.4266,-5.00,5.00,
483,823.4832,-5.00,5.00,759.7607,-5.00,5.00,
484,823.3542,-5.00,5.00,759.9101,-5.00,5.00,
485,817.8473,-5.00,5.00,750.7202,-5.00,5.00,
486,809.2971,-5.00,5.00,743.1086,-5.00,5.00,
487,798.6047,-5.00,5.00,737.4702,-5.00,5.00,
488,793.9722,-5.00,5.00,733.9501,-5.00,5.00,
489,793.4210,-5.00,5.00,734.0299,-5.00,5.00,
490,794.4587,-5.00,5.00,736.7074,-5.00,5.00,
491,796.5045,-5.00,5.00,740.1874,-5.00,5.00,
492,801.7721,-5.00,5.00,744.0508,-5.00,5.00,
493,801.5040,-5.00,5.00,742.8893,-5.00,5.00,
494,797.8351,-5.00,5.00,739.4445,-5.00,5.00,
495,795.0994,-5.00,5.00,736.8819,-5.00,5.00,
496,790.6948,-5.00,5.00,734.7379,-5.00,5.00,
497,789.9945,-5.00,5.00,733.4714,-5.00,5.00,
498,789.3141,-5.00,5.00,731.6914,-5.00,5.00,
499,789.1255,-5.00,5.00,730.1157,-5.00,5.00,
500,789.4531,-5.00,5.00,729.7617,-5.00,5.00,
501,790.6848,-5.00,5.00,729.6917,-5.00,5.00,
502,793.0139,-5.00,5.00,730.7589,-5.00,5.00,
503,792.6662,-5.00,5.00,731.8259,-5.00,5.00,
504,794.7120,-5.00,5.00,732.8482,-5.00,5.00,
505,796.0129,-5.00,5.00,733.3069,-5.00,5.00,
