TP,LSL,USL
,,
T::TP1_T_PCT_400,100,100
,,
T::TP1_T_PCT_410,100,100
,,
T::TP1_T_PCT_420,100,100
,,
T::TP1_T_PCT_450,100,100
,,
T::TP1_T_PCT_500,100,100
,,
T::TP1_T_PCT_550,100,100
,,
T::TP1_T_PCT_600,100,100
,,
T::TP1_T_PCT_650,100,100
,,
T::TP1_T_PCT_700,100,100
,,
T::TP1_T_PCT_750,100,100
,,
T::TP1_T_PCT_800,100,100
,,
T::TP1_T_PCT_850,100,100
,,
T::TP1_T_PCT_900,100,100
,,
T::TP1_T_PCT_950,100,100
,,
T::TP1_T_PCT_1000,100,100
,,
T::TP1_T_PCT_1050,100,100
,,
T::TP1_T_PCT_1100,100,100
,,
T::TP2_T_PCT_400,100,100
,,
T::TP2_T_PCT_410,100,100
,,
T::TP2_T_PCT_420,100,100
,,
T::TP2_T_PCT_450,100,100
,,
T::TP2_T_PCT_500,100,100
,,
T::TP2_T_PCT_550,100,100
,,
T::TP2_T_PCT_600,100,100
,,
T::TP2_T_PCT_650,100,100
,,
T::TP2_T_PCT_700,100,100
,,
T::TP2_T_PCT_750,100,100
,,
T::TP2_T_PCT_800,100,100
,,
T::TP2_T_PCT_850,100,100
,,
T::TP2_T_PCT_900,100,100
,,
T::TP2_T_PCT_950,100,100
,,
T::TP2_T_PCT_1000,100,100
,,
T::TP2_T_PCT_1050,100,100
,,
T::TP2_T_PCT_1100,100,100
,,
T::TP3_T_PCT_400,100,100
,,
T::TP3_T_PCT_410,100,100
,,
T::TP3_T_PCT_420,100,100
,,
T::TP3_T_PCT_450,100,100
,,
T::TP3_T_PCT_500,100,100
,,
T::TP3_T_PCT_550,100,100
,,
T::TP3_T_PCT_600,100,100
,,
T::TP3_T_PCT_650,100,100
,,
T::TP3_T_PCT_700,100,100
,,
T::TP3_T_PCT_750,100,100
,,
T::TP3_T_PCT_800,100,100
,,
T::TP3_T_PCT_850,100,100
,,
T::TP3_T_PCT_900,100,100
,,
T::TP3_T_PCT_950,100,100
,,
T::TP3_T_PCT_1000,100,100
,,
T::TP3_T_PCT_1050,100,100
,,
T::TP3_T_PCT_1100,100,100
