TP,USL,LSL
,,
T::TP1_T_PCT_400,137,137
,,
T::TP1_T_PCT_410,78.26,78.26
,,
T::TP1_T_PCT_420,17.38,17.38
,,
T::TP1_T_PCT_450,10.46,10.46
,,
T::TP1_T_PCT_500,8.74,8.74
,,
T::TP1_T_PCT_550,7.44,7.44
,,
T::TP1_T_PCT_600,6.99,6.99
,,
T::TP1_T_PCT_650,6.62,6.62
,,
T::TP1_T_PCT_700,6.07,6.07
,,
T::TP1_T_PCT_750,6.38,6.38
,,
T::TP1_T_PCT_800,5.85,5.85
,,
T::TP1_T_PCT_850,5.32,5.32
,,
T::TP1_T_PCT_900,5.52,5.52
,,
T::TP1_T_PCT_950,100,100
,,
T::TP1_T_PCT_1000,100,100
,,
T::TP1_T_PCT_1050,100,100
,,
T::TP1_T_PCT_1100,100,100
,,
T::TP2_T_PCT_400,137,137
,,
T::TP2_T_PCT_410,78.26,78.26
,,
T::TP2_T_PCT_420,17.38,17.38
,,
T::TP2_T_PCT_450,10.46,10.46
,,
T::TP2_T_PCT_500,8.74,8.74
,,
T::TP2_T_PCT_550,7.44,7.44
,,
T::TP2_T_PCT_600,6.99,6.99
,,
T::TP2_T_PCT_650,6.62,6.62
,,
T::TP2_T_PCT_700,6.07,6.07
,,
T::TP2_T_PCT_750,6.38,6.38
,,
T::TP2_T_PCT_800,5.85,5.85
,,
T::TP2_T_PCT_850,5.32,5.32
,,
T::TP2_T_PCT_900,5.52,5.52
,,
T::TP2_T_PCT_950,100,100
,,
T::TP2_T_PCT_1000,100,100
,,
T::TP2_T_PCT_1050,100,100
,,
T::TP2_T_PCT_1100,100,100
,,
T::TP3_T_PCT_400,137,137
,,
T::TP3_T_PCT_410,78.26,78.26
,,
T::TP3_T_PCT_420,17.38,17.38
,,
T::TP3_T_PCT_450,10.46,10.46
,,
T::TP3_T_PCT_500,8.74,8.74
,,
T::TP3_T_PCT_550,7.44,7.44
,,
T::TP3_T_PCT_600,6.99,6.99
,,
T::TP3_T_PCT_650,6.62,6.62
,,
T::TP3_T_PCT_700,6.07,6.07
,,
T::TP3_T_PCT_750,6.38,6.38
,,
T::TP3_T_PCT_800,5.85,5.85
,,
T::TP3_T_PCT_850,5.32,5.32
,,
T::TP3_T_PCT_900,5.52,5.52
,,
T::TP3_T_PCT_950,100,100
,,
T::TP3_T_PCT_1000,100,100
,,
T::TP3_T_PCT_1050,100,100
,,
T::TP3_T_PCT_1100,100,100
